,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[PAIHDFC3M_A_8.0],-0.003,0.067,-0.158,0.131,0.002,0.002,1586.0,810.0,1.0
beta[PAILLMB3M_A_2.0],0.022,0.045,-0.047,0.13,0.001,0.001,1349.0,920.0,1.0
beta[PAILLMB3M_A_3.0],-0.003,0.04,-0.085,0.089,0.001,0.001,1360.0,777.0,1.0
beta[PAILLMB3M_A_4.0],0.022,0.045,-0.063,0.122,0.001,0.001,1581.0,963.0,1.0
beta[PAILLMB3M_A_7.0],-0.006,0.076,-0.152,0.181,0.002,0.002,1439.0,801.0,1.0
beta[PAILLMB3M_A_8.0],-0.009,0.077,-0.165,0.145,0.003,0.003,1255.0,530.0,1.0
beta[PAILLMB3M_A_9.0],-0.002,0.079,-0.154,0.166,0.003,0.002,1285.0,911.0,1.0
beta[PAIULMB3M_A_2.0],-0.005,0.035,-0.081,0.069,0.001,0.001,1809.0,879.0,1.0
beta[PAIULMB3M_A_3.0],0.099,0.088,-0.014,0.278,0.003,0.002,843.0,744.0,1.0
beta[PAIULMB3M_A_4.0],0.024,0.051,-0.077,0.138,0.001,0.001,1324.0,706.0,1.0
beta[PAIULMB3M_A_7.0],-0.005,0.069,-0.163,0.135,0.002,0.002,1272.0,757.0,1.01
beta[PAIULMB3M_A_8.0],-0.001,0.078,-0.169,0.147,0.003,0.002,1119.0,610.0,1.0
beta[PAIULMB3M_A_9.0],-0.006,0.069,-0.157,0.136,0.002,0.002,1869.0,862.0,1.0
beta[PAIBACK3M_A_2.0],0.01,0.035,-0.056,0.091,0.001,0.001,1428.0,907.0,1.0
beta[PAIBACK3M_A_3.0],-0.005,0.042,-0.089,0.088,0.001,0.001,1380.0,918.0,1.0
beta[PAIBACK3M_A_4.0],0.029,0.049,-0.05,0.136,0.001,0.001,1862.0,849.0,1.0
beta[PAIBACK3M_A_7.0],-0.003,0.073,-0.162,0.151,0.002,0.002,1569.0,868.0,1.0
beta[PAIBACK3M_A_8.0],-0.007,0.072,-0.172,0.142,0.002,0.002,1512.0,946.0,1.0
beta[PAIBACK3M_A_9.0],0.002,0.078,-0.141,0.146,0.003,0.002,1164.0,670.0,1.0
beta[PAIAFFM3M_A_2.0],0.128,0.083,-0.009,0.284,0.003,0.002,883.0,642.0,1.0
beta[PAIAFFM3M_A_3.0],-0.015,0.056,-0.151,0.085,0.002,0.001,1691.0,815.0,1.0
beta[PAIAFFM3M_A_4.0],0.006,0.056,-0.119,0.118,0.002,0.001,1691.0,653.0,1.0
beta[PAIAFFM3M_A_8.0],-0.006,0.073,-0.153,0.145,0.003,0.002,1323.0,699.0,1.01
beta[PAIAFFM3M_A_9.0],0.007,0.076,-0.161,0.174,0.003,0.002,1311.0,715.0,1.01
beta[PAIWKLM3M_A_2.0],0.187,0.077,0.033,0.343,0.003,0.002,721.0,329.0,1.01
beta[PAIWKLM3M_A_3.0],0.024,0.053,-0.067,0.148,0.001,0.001,1928.0,829.0,1.0
beta[PAIWKLM3M_A_4.0],0.012,0.053,-0.098,0.127,0.002,0.001,1249.0,770.0,1.0
beta[PAIWKLM3M_A_8.0],-0.001,0.071,-0.14,0.16,0.002,0.002,1374.0,819.0,1.0
beta[PAIWKLM3M_A_9.0],-0.002,0.069,-0.138,0.168,0.002,0.002,1591.0,701.0,1.0
beta[PAIAMNT_A_2.0],0.191,0.104,-0.01,0.372,0.003,0.002,824.0,591.0,1.0
beta[PAIAMNT_A_3.0],0.043,0.055,-0.035,0.175,0.002,0.001,931.0,780.0,1.0
beta[PAIAMNT_A_8.0],-0.004,0.09,-0.15,0.208,0.003,0.002,1377.0,633.0,1.0
beta[PAIAMNT_A_9.0],0.004,0.07,-0.13,0.16,0.002,0.002,1353.0,727.0,1.0
beta[PAIFRQ3M_A_2.0],-0.016,0.04,-0.103,0.053,0.001,0.001,1401.0,1029.0,1.0
beta[PAIFRQ3M_A_3.0],0.022,0.051,-0.062,0.139,0.002,0.001,1123.0,743.0,1.0
beta[PAIFRQ3M_A_4.0],0.064,0.071,-0.036,0.208,0.002,0.002,1123.0,1030.0,1.0
beta[PAIFRQ3M_A_7.0],-0.001,0.084,-0.149,0.164,0.003,0.003,1628.0,853.0,1.0
beta[PAIFRQ3M_A_8.0],-0.004,0.071,-0.174,0.136,0.002,0.002,1617.0,753.0,1.0
beta[PAIFRQ3M_A_9.0],-0.002,0.072,-0.138,0.146,0.002,0.002,1607.0,788.0,1.0
beta[VIGIL4_A_2.0],0.056,0.069,-0.042,0.207,0.002,0.002,1236.0,717.0,1.0
beta[VIGIL4_A_3.0],-0.011,0.039,-0.1,0.059,0.001,0.001,1747.0,920.0,1.0
beta[VIGIL4_A_4.0],-0.029,0.057,-0.171,0.061,0.002,0.001,1413.0,815.0,1.0
beta[VIGIL4_A_5.0],-0.006,0.037,-0.091,0.069,0.001,0.001,1803.0,987.0,1.0
beta[VIGIL4_A_7.0],-0.017,0.112,-0.192,0.149,0.003,0.002,1449.0,874.0,1.0
beta[VIGIL4_A_8.0],0.002,0.07,-0.138,0.162,0.002,0.002,1733.0,660.0,1.0
beta[VIGIL4_A_9.0],-0.02,0.096,-0.21,0.128,0.003,0.003,1659.0,771.0,1.0
beta[VIGIL3_A_2.0],-0.021,0.047,-0.127,0.061,0.001,0.001,1606.0,899.0,1.0
beta[VIGIL3_A_3.0],-0.006,0.044,-0.101,0.082,0.001,0.001,1364.0,884.0,1.0
beta[VIGIL3_A_4.0],-0.071,0.095,-0.284,0.057,0.003,0.002,1051.0,920.0,1.0
beta[VIGIL3_A_5.0],-0.088,0.063,-0.206,0.019,0.002,0.001,844.0,1066.0,1.0
beta[VIGIL3_A_7.0],-0.012,0.084,-0.163,0.156,0.003,0.002,1306.0,695.0,1.0
beta[VIGIL3_A_8.0],0.006,0.069,-0.122,0.162,0.002,0.002,1350.0,915.0,1.0
